,Measures,Single operand,Numerator,Denominator
23565,number of direct maintenance personnel on shift,,,
23566,number of emergency maintenance jobs,,,
23567,number of emergency priority service calls,,,
23568,number of failures,,,
23569,number of faults found,,,
23570,number of immediate corrective maintenance man_hours,,,
23571,number of immediate corrective maintenance work_orders completed,,,
23572,number of incomplete work orders,,,
23573,number of internal direct maintenance people using software,,,
23574,number of internal direct maintenance personnel,,,
23575,number of internal maintenance personnel,,,
23576,number of internal multi_skilled maintenance personnel,,,
23577,number of maintenance internal personnel man_hours for training,,,
23578,number of maintenance jobs per week,,,
23579,number of maintenance work_orders causing downtime,,,
23580,number of major assetssystems with preventive maintenance routines,,,
23581,number of man_hours for continuous improvement,,,
23582,number of man_hours used for planning in a systematic maintenance planning process,,,
23583,number of modification proposals registered,,,
23584,number of modifications completed,,,
23585,number of outstanding work orders,,,
23586,number of overdue preventive maintenance work orders at the end of the period,,,
23587,number of planned and scheduled maintenance man_hours,,,
23588,number of plant stoppages due to failure,,,
23589,number of pmcm backlog items,,,
23590,number of predictive maintenance monitoring per cycle,,,
23591,number of preventive maintenance  emergency maintenance jobs,,,
23592,number of preventive maintenance jobs completed,,,
23593,number of preventive maintenance jobs scheduled,,,
23594,number of preventive maintenance tasks completed,,,
23595,number of preventive maintenance tasks planned,,,
23596,number of priority 1 service calls,,,
23597,number of priority 2 service calls,,,
23598,number of production operator maintenance man_hours,,,
23599,number of repeated breakdowns,,,
23600,number of rework jobs,,,
23601,number of scheduled work orders,,,
23602,number of service calls,,,
23603,number of service calls within the target response time,,,
23604,number of steam traps surveyed,,,
23605,number of stoppages due to failure,,,
23606,number of unexpected equipment failures resulting in downtime,,,
23607,number of urgent priority service calls,,,
23608,number of work orders closed during the period,,,
23609,number of work orders completed during the period,,,
23610,number of work orders performed as scheduled,,,
23611,number of work orders registered,,,
23612,number or maintenance work_orders completed,,,
23613,number time spent performing preventive maintenance _pm_ work,,,
23614,percent after action review usage,,,
23615,percentage of adherence to preventive maintainers schedule,,['adherence preventive maintainers schedule'],['preventive maintainers schedule']
23616,percentage of failed maintenance,,['failed maintenance failed'],['Total number of failed maintenance']
23617,percentage of maintenance hours of operating time,,['maintenance hours operating time'],['hours operating time']
23618,percentage of maintenance hours of operating time _maintenance efficiency_,,['maintenance operating'],['Total number of maintenance']
23619,percentage of maintenance rework,,['maintenance rework'],"[""Total number of ['maintenance', 'rework']""]"
23620,percentage of overall equipment effectiveness,,['overall equipment'],"[""Total number of ['overall', 'equipment', 'effectiveness']""]"
23621,percentage of preventive maintenance cost,,['preventive maintenance'],"[""Total number of ['preventive', 'maintenance', 'cost']""]"
23622,percentage of scheduled maintenance man hours planned,,['scheduled maintenance man hours scheduled'],['Total number of scheduled maintenance man hours']
23623,percent repairs completed within time limit,,,
23624,percent unplanned maintenance,,,
23625,percent work orders closed within the specified time period _maintenance_,,,
23626,achieved up time during required time,,,
23627,actual available hours to schedule each week,,,
23628,average number of minutes required to repair a malfunctioning piece of manufacturing equipment,,,
23629,average days between repair on same item,,,
23630,average inventory value of maintenance materials,,,
23631,average loading time,,,
23632,average preventive maintenance man_hours per day,,,
23633,average required travel time,,,
23634,backlog of maintenance work,,,
23635,cumulative response time of all customer calls,,,
23636,cumulative response time of all emergency priority service calls,,,
23637,cumulative response time to all service calls,,,
23638,cumulative response time to all urgent service calls,,,
23639,cumulative safe repair time of all emergency priority service calls,,,
23640,cumulative safe repair time of all service calls,,,
23641,maintenance cost per ticket,,,
23642,maintenance shutdown cost,,,
23643,mean time failure,,,
23644,monthly depreciation of equipment,,,
23645,net maintenance parts turnover,['total maintenance parts turnover'],,
23646,preventive inspection effectiveness,,,
23647,quantity of equipment output,,,
23648,ratio of value adding time to lead time,,,
23649,schedule completion effectiveness ,,,
23650,time taken to answer maintenance calls,,,
23651,total actual man_hours for completed work orders,['total actual man_hours for completed work orders'],,
23652,total annual maintenance expenditure per square meter,['total annual maintenance expenditure per square meter'],,
23653,total budget implemented  budget planned,['total budget implemented  budget planned'],,
23654,total condition based maintenance man_hours,['total condition based maintenance man_hours'],,
23655,total corrective maintenance man_hours,['total corrective maintenance man_hours'],,
23656,total direct maintenance personnel man_hours,['total direct maintenance personnel man_hours'],,
23657,total direct man_hours worked,['total direct man_hours worked'],,
23658,total emergency jobs worked,['total emergency jobs worked'],,
23659,total estimated cost of work,['total estimated cost of work'],,
23660,total estimated man_hours for all outstanding work orders,['total estimated man_hours for all outstanding work orders'],,
23661,total estimated man_hours for completed work orders,['total estimated man_hours for completed work orders'],,
23662,total hours in the reporting time period,['total hours in the reporting time period'],,
23663,total internal direct man_hours available,['total internal direct man_hours available'],,
23664,total internal direct man_hours worked,['total internal direct man_hours worked'],,
23665,total internal maintenance man_hours,['total internal maintenance man_hours'],,
23666,total internal maintenance personnel man_hours,['total internal maintenance personnel man_hours'],,
23667,total jobs worked,['total jobs worked'],,
23668,total maintenance cost  month,['total maintenance cost  month'],,
23669,total maintenance cost per equipment,['total maintenance cost per equipment'],,
23670,total maintenance cost per year,['total maintenance cost per year'],,
23671,total maintenance man_hours available,['total maintenance man_hours available'],,
23672,total maintenance personnel man_hours,['total maintenance personnel man_hours'],,
23673,total man_hours worked on shift,['total man_hours worked on shift'],,
23674,total off_site maintenance man_hours,['total off_site maintenance man_hours'],,
23675,total operating time,['total operating time'],,
23676,total overtime maintenance man_hours,['total overtime maintenance man_hours'],,
23677,total overtime man_hours worked by indirect maintenance personnel during period,['total overtime man_hours worked by indirect maintenance personnel during period'],,
23678,total preventive maintenance hours,['total preventive maintenance hours'],,
23679,total regular man_hours of indirect maintenance personnel during period,['total regular man_hours of indirect maintenance personnel during period'],,
23680,total stoppage time due to failure,['total stoppage time due to failure'],,
23681,total time to restoration,['total time to restoration'],,
23682,total value of parts inventory,['total value of parts inventory'],,
23683,total value of parts on sites,['total value of parts on sites'],,
23684,number of hours to switch a manufacturing line from making one product to making a different product,,,
23685,number of manufacturing steps,,,
23686,number processes with yields at six sigma,,,
23687,number takt time,,,
23688,number unit production time,,,
23689,number units per man_hour,,,
23690,percent adherence to processes,,,
23691,percent changes to process specifications during process design review,,,
23692,percent downtime,,,
23693,percent lost manufacturing capacity,,,
23694,percentage of forecasts of production quantities done,,['forecasts done'],['Total number of forecasts']
23695,percentage of production schedules met,,['production schedules met'],['Total number of production schedules']
23696,percentage of scrap and rework reduction,,['scrap and'],"[""Total number of ['scrap', 'and', 'rework', 'reduction']""]"
23697,percent process validation,,,
23698,percent production orders finished late,,,
23699,percent reduction in component lot sizes,,,
23700,percent reduction in manufacturing cycle time,,,
23701,percent total time yield,,,
23702,average number of days from receipt of the customers order until the product is ready for packaging,,,
23703,average time from order to shipment,,,
23704,average time on floor to be packed,,,
23705,average time required to incorporate engineering changes,,,
23706,changeover time,,,
23707,maintenance order to repair done cycle time,,,
23708,manufacturing process cycle time,,,
23709,manufacturing schedule adherence,,,
23710,ratio of actual to design input required to produce 1 unit of output,,,
23711,work_in_process _wip_,,,
23712,number of analysis of tasks and workload,,,
23713,number of design and testing and evaluation,,,
23714,number of hours provided training for systems,,,
23715,number of modeling tools to evaluate the station and workplace design and operator procedures,,,
23716,number of production employees,,,
23717,number of requirements specification,,,
23718,number of tasks and associated workload analysis,,,
23719,number of training requirements,,,
23720,percent for operations,,,
23721,percentage of functions allocation,,['functions allocation'],"[""Total number of ['functions', 'allocation']""]"
23722,percentage of system performance and reliability,,['system performance'],['Total number of reliability']
23723,percentage of undesirable design or procedural features identified,,['undesirable design identified'],['Total number of undesirable design']
23724,percent operator stress,,,
23725,percent production workforce participating in self directed work teams,,,
23726,percent reduction of operational errors,,,
23727,percent training for sustaining manpower skills,,,
23728,average hours employee is actively working per day,,,
23729,ease of use rate,,,
23730,employee utilization rate,,,
23731,labor cost per unit produced _unit cost_,,,
23732,projected vs. actual project hours,,,
23733,total number of employees directly involved in production functions,,,
23734,total amount of labor expense required during batch products manufacturing,['total amount of labor expense required during batch products manufacturing'],,
23735,user fatigue rate,,,
23736,user satisfaction rate,,,
23737,variance between the hours scheduled for an employee versus the amount of actual hours worked,,,
23738,number of items exceeding shelf life,,,
23739,percent cost of quality,,,
23740,percent cost reduction,,,
23741,percent decrease in inventory carrying costs,,,
23742,percent decrease in production_to_market lead_time,,,
23743,percent decrease in scrap and rework costs,,,
23744,percent decrease in standard production hours,,,
23745,percent increase in inventory turnover,,,
23746,percent machine modules reuse,,,
23747,percent material cost reduction,,,
23748,percentage of corrective maintenance cost,,['corrective maintenance'],"[""Total number of ['corrective', 'maintenance', 'cost']""]"
23749,percentage of machine utilization,,['machine utilization'],"[""Total number of ['machine', 'utilization']""]"
23750,percentage of material costing usage,,['material costing'],"[""Total number of ['material', 'costing', 'usage']""]"
23751,percentage of statutory compliance,,['statutory compliance'],"[""Total number of ['statutory', 'compliance']""]"
23752,percentage of unplanned capacity expenditure,,['unplanned capacity'],"[""Total number of ['unplanned', 'capacity', 'expenditure']""]"
23753,percentage of unused capacity expenditures,,['unused capacity'],"[""Total number of ['unused', 'capacity', 'expenditures']""]"
23754,percent reduction in inventory levels,,,
23755,percent reduction in manufacturing lead times,,,
23756,percent reduction in penalties,,,
23757,percent reduction in variable cost,,,
23758,percent residual _scrap_ value,,,
23759,percent rework and repair hours compared to direct manufacturing hours,,,
23760,percent rework and repair labor cost compared to total manufacturing labor cost,,,
23761,percent savings in costs,,,
23762,percent savings in inventory costs,,,
23763,percent savings in labor costs,,,
23764,percent savings in transportation costs,,,
23765,percent supplier parts scrapped due to engineering changes,,,
23766,percent tools reworked due to design errors,,,
23767,percent tools that fail certification,,,
23768,percent total scrap and rework as a percent sales,,,
23769,average product cost to the customer at the company manufacturer,,,
23770,average production costs of items,,,
23771,average units per labor hour,,,
23772,cost of poor quality _copq_,,,
23773,cost of replacing obsolete items,,,
23774,cost reduction percent,,,
23775,engineering costs are not more than x$ per tone,,,
23776,interest cost reduction,,,
23777,labor as a percentage of cost,,['a percentage'],['Total number of cost']
23778,labor costs per unit production,,,
23779,labor usage_ costs_direct and indirect,,,
23780,manufacturing cost per unit,,,
23781,power consumption per hour production,,,
23782,price of non_conformance,,,
23783,ratio of actual to projected unit production costs,,,
23784,total actual cost of work,['total actual cost of work'],,
23785,total avoided cost,['total avoided cost'],,
23786,total contractor cost,['total contractor cost'],,
23787,total cost of all jobs,['total cost of all jobs'],,
23788,total cost of contractors,['total cost of contractors'],,
23789,total cost of direct labor,['total cost of direct labor'],,
23790,total cost of equipment parts,['total cost of equipment parts'],,
23791,total cost of maintenance,['total cost of maintenance'],,
23792,total cost of maintenance materials,['total cost of maintenance materials'],,
23793,total cost of planned and estimated jobs,['total cost of planned and estimated jobs'],,
23794,total cost of preventive maintenance,['total cost of preventive maintenance'],,
23795,total cost to manufacture per 100 dollar0 revenue,['total cost to manufacture per 100 dollar0 revenue'],,
23796,total direct maintenance personnel cost,['total direct maintenance personnel cost'],,
23797,total product cost,['total product cost'],,
23798,total warranty cost reduction,['total warranty cost reduction'],,
23799,total warranty repair costssales,['total warranty repair costssales'],,
23800,total waste reduction,['total waste reduction'],,
23801,unit cost,,,
23802,water used per amount of product manufactured,,,
23803,number of elements affecting other functions,,,
23804,number of elements related to other functions,,,
23805,percent capacity utilization,,,
23806,percent increase in productivity,,,
23807,percent increasedecrease in plant downtime,,,
23808,percent integration capabilities,,,
23809,percentage of improved uptime of machines,,['improved uptime improved'],['Total number of improved uptime']
23810,percentage of planned monthly shuts completed within planned time,,['planned monthly shuts planned'],['Total number of planned monthly shuts']
23811,percentage of rejects,,,
23812,percentage of respond to breakdowns in < 30 minutes,,['respond breakdowns < 30 minutes'],['breakdowns < 30 minutes']
23813,percentage of undamaged goods,,['undamaged goods'],"[""Total number of ['undamaged', 'goods']""]"
23814,achieve uptime of xpercent by x date,,,
23815,average number of quality checks vs. targeted number,,,
23816,comparative analytics for products,,,
23817,increase output to x tones per day,,,
23818,industry benchmark performance,,,
23819,less percent waste,,,
23820,manufacturing cycle time,,,
23821,quality assurance,,,
23822,truck turnarounds reduced to x mins,,,
23823,number of issues inquired into arising out of the data applied or integrated,,,
23824,number of orders that manufacturing and production delivers completed and on time divided,,,
23825,number of sales orders filled completely,,,
23826,number of stock keeping units _skus_,,,
23827,number of supplier trending,,,
23828,percent maintained price with value to customer,,,
23829,percentage of dedicated production facilities,,['dedicated production'],"[""Total number of ['dedicated', 'production', 'facilities']""]"
23830,percentage of demand forecasting done,,['demand forecasting done'],['Total number of demand forecasting']
23831,percentage of efficiency of control structures,,['efficiency'],['Total number of control structures']
23832,percentage of open orders,,['open orders'],"[""Total number of ['open', 'orders']""]"
23833,percent on_time orders,,,
23834,percent on_time shipping,,,
23835,average number of days from a customers placement of a product order to delivery of the product to the customer,,,
23836,average sales turnover  customer,,,
23837,average time from dock to dock,,,
23838,average time from order to cash in bank,,,
23839,average time from raw material to dispatch,,,
23840,average value of the order,,,
23841,customer shipment lead time,,,
23842,profit rate  each order,,,
23843,rate of profit from each customer,,,
23844,ratio of companys inventory is sold and replaced,,,
23845,total volume of stock keeping units produced by the company across all manufacturing sites,['total volume of stock keeping units produced by the company across all manufacturing sites'],,
23846,value of the minimum order,,,
23847,total cost of audits of the effectiveness of the quality system,['total cost of audits of the effectiveness of the quality system'],,
23848,total cost of quality circles,['total cost of quality circles'],,
23849,total cost of quality data gathering_ analysis_ and reporting,['total cost of quality data gathering_ analysis_ and reporting'],,
23850,total cost of quality engineering,['total cost of quality engineering'],,
23851,total cost of quality improvement projects,['total cost of quality improvement projects'],,
23852,total cost of quality training,['total cost of quality training'],,
23853,total cost of statistical process control activities,['total cost of statistical process control activities'],,
23854,total cost of supervision of prevention activities,['total cost of supervision of prevention activities'],,
23855,total cost of systems development,['total cost of systems development'],,
23856,total cost of technical support provided to suppliers,['total cost of technical support provided to suppliers'],,
23857,percentage of accuracy of advance materials list,,['accuracy'],['Total number of advance materials list']
23858,percentage of effectiveness of regression tests,,['effectiveness'],['Total number of regression tests']
23859,percentage of test plans that are changed _changetest plan_,,['test plans changed'],['Total number of test plans']
23860,average number of months required to convert a customized solution into a standard product offering,,,
23861,average cycle times by major development step,,,
23862,average data recording errors per month,,,
23863,average development time _actual to forecast_,,,
23864,average time customers involved in project,,,
23865,average time for market testing,,,
23866,average time from development to maturity,,,
23867,average time from introduction to maturity,,,
23868,average time to develop a product specification,,,
23869,average time to make conceptual mock ups,,,
23870,average time to market,,,
23871,average time to perform a business environment assessment,,,
23872,average time to prepare a business plan,,,
23873,average time to profitability,,,
23874,average time to release engineering drawings,,,
23875,average time to set up pilot production,,,
23876,average time to verify design,,,
23877,cost of input errors to the computer,,,
23878,cycle time to correct customer problem,,,
23879,person_months per released print,,,
23880,number failure rate,,,
23881,number of new change orders,,,
23882,number of open change orders,,,
23883,number of production assignments completed in time,,,
23884,number production lead time,,,
23885,number regression testing,,,
23886,percent machine scheduled time,,,
23887,percentage of errors in work in process records versus audit data,,['errors work process records audit data'],['process records audit data']
23888,percentage of manufacturing jobs completed on schedule,,['manufacturing jobs manufacturing'],['Total number of manufacturing jobs']
23889,percentage of products that meet customer orders,,['products meet'],['Total number of products']
23890,percentage of stock errors,,['stock errors'],"[""Total number of ['stock', 'errors']""]"
23891,percent work in progress,,,
23892,average cycle time _act_,,,
23893,cost of inventory spoilage,,,
23894,employee work center loading,,,
23895,first time through,,,
23896,production targets,,,
23897,ratio of actual capacity to rated capacity,,,
23898,ratio of downtime to projected operating time,,,
23899,spare parts availability in crib,,,
23900,time required to incorporate engineering changes,,,
23901,time that line is down due to assembly shortage,,,
23902,variance between actual and maximum output being produced on an assembly line,,,
23903,number of defective units,,,
23904,number of fine supervisors,,,
23905,number of line stops,,,
23906,number of loss of production units,,,
23907,number of manufacturingproduction downtime,,,
23908,number of parts or components used in the production of a finished product that are prefabricated,,,
23909,number of process changes per operation due to errors,,,
23910,number of production targets attained,,,
23911,percent pull system used,,,
23912,percent actual versus planned volume,,,
23913,percent decrease in production as a result of unplanned production halts,,,
23914,percent lots or jobs expedited by bumping other lots or jobs from schedule,,,
23915,percentage of finished product first pass yield,,['finished product'],['Total number of yield']
23916,percentage of first time through,,['first time'],"[""Total number of ['first', 'time']""]"
23917,percentage of products that are customized to specific customer needsorders and require changes,,['products customized'],['Total number of products']
23918,percentage of units that go through production process without any rework or repairs for defects,,['units go'],['Total number of units']
23919,percent unplanned overtime,,,
23920,average number of product units manufactured per hour,,,
23921,average machine availability rate or machine uptime,,,
23922,average manufacturing cost per unit,,,
23923,average manufacturing cycle time for a product,,,
23924,average standard order to shipment lead time for major products,,,
23925,first pass yield _fpy_,,,
23926,major component first pass yield,,,
23927,manufacturing uptime,,,
23928,the amount of time that the production operation is up and running _producing output_,,,
23929,total production and test equipment set up time,['total production and test equipment set up time'],,
23930,total scrap and rework costs,['total scrap and rework costs'],,
23931,total time line is down due to assembly shortage,['total time line is down due to assembly shortage'],,
23932,number of deadlinesmilestones met,,,
23933,number of metrics relating to specific team tasks,,,
23934,number of minutes needed to produce a single unit,,,
23935,number of orders produced by individuals,,,
23936,number of orders produced by section,,,
23937,number of orders produced by week or day,,,
23938,number of staff off work,,,
23939,number of tasks performed that were either unplanned or did not conform to the production schedule,,,
23940,number of units produced,,,
23941,percent changes to the weekly schedule,,,
23942,percent increase in revenues,,,
23943,percentage of capacity utilization,,['capacity utilization'],"[""Total number of ['capacity', 'utilization']""]"
23944,percentage of manufacturing capacity designated by the company manufacturer as spare capacity,,['manufacturing capacity designated'],['Total number of manufacturing capacity']
23945,percentage of manufacturing facility productivity,,['manufacturing facility productivity manufacturing'],['Total number of manufacturing facility productivity']
23946,percentage of manufacturing floor space usage,,['manufacturing floor space usage manufacturing'],['Total number of manufacturing floor space usage']
23947,percentage of product costing completed,,['product costing completed'],['Total number of product costing']
23948,percentage of schedule variance,,['schedule variance'],"[""Total number of ['schedule', 'variance']""]"
23949,percentage of spare manufacturing capacity,,['spare manufacturing'],"[""Total number of ['spare', 'manufacturing', 'capacity']""]"
23950,percentage of un_scheduled production,,['un_scheduled production'],"[""Total number of ['un_scheduled', 'production']""]"
23951,percent production efficiency of a department_ plant_ or division,,,
23952,percent uptime,,,
23953,attendance rates,,,
23954,average time to manufacturing,,,
23955,capacity utilization rate,,,
23956,length of time staff are off work,,,
23957,output rates,,,
23958,overall equipment effectiveness,,,
23959,overtime as a percentage of total hours,,['a percentage'],['Total number of total hours']
23960,planned work to total work ratio,,,
23961,reduced time to productivity,,,
23962,savings in inventory carrying costs,,,
23963,schedule compliance,,,
23964,takt time,,,
23965,total actual manufacturing output divided by the potential manufacturing output,['total actual manufacturing output divided by the potential manufacturing output'],,
23966,total machine available time,['total machine available time'],,
23967,total machine work center loading rate,['total machine work center loading rate'],,
23968,total sales turnover  total employee,['total employee'],,
23969,total scrap material dollar valuetotal material dollar value,['total material dollar value'],,
23970,turnaround time for jobs,,,
23971,number of new products introduced per month,,,
23972,number of review of product design,,,
23973,percent decrease in production to_market lead time,,,
23974,percent designed experiments needing revisions,,,
23975,percent first time right,,,
23976,percent improvement units produced per square foot of manufacturing,,,
23977,percent improvement units produced per square foot of storage space,,,
23978,percent reject rate reduction,,,
23979,percent standardization of products,,,
23980,number areas of improvement,,,
23981,number audits performed on schedule,,,
23982,number complaints from management,,,
23983,number customer complaints,,,
23984,number emissions from production,,,
23985,number engineering changes after design review,,,
23986,number errors detected during design and process reviews,,,
23987,number manufacturing interruptions caused by supplier parts,,,
23988,number of customer feedback,,,
23989,number of internal customer complaints,,,
23990,number of kaizen applications,,,
23991,number of non conformances,,,
23992,number of product realization projects implementation,,,
23993,number of products defects at customer site,,,
23994,number of products warranty failure Ã¢â‚¬â€œ oem,,,
23995,number of units produced that are in compliance with government regulations and internal guidelines,,,
23996,number production rejects,,,
23997,number requests for corrective action being processed,,,
23998,number startup rejects,,,
23999,percent compliance rate for government regulations,,,
24000,percent customer reject or return rate on finished products,,,
24001,percent defects per million opportunities,,,
24002,percent errors in stocking,,,
24003,percent faults detected prior to failure,,,
24004,percent final products which do not meet quality criteria,,,
24005,percent first time yield _fty_,,,
24006,percent hazardous operational waste,,,
24007,percent high quality for all customer point of interaction,,,
24008,percent lots going directly to stock,,,
24009,percent mean time between failures,,,
24010,percent must do it again _ rework,,,
24011,percentage of customers overall satisfaction regarding the quality of the product,,['customers regarding'],['Total number of customers']
24012,percentage of defect goods,,['defect goods'],"[""Total number of ['defect', 'goods']""]"
24013,percentage of defect goods of department,,['defect goods'],['Total number of department']
24014,percentage of defect goods of individual,,['defect goods'],['Total number of individual']
24015,percentage of products in compliance,,['products'],['Total number of compliance']
24016,percentage of rejection in products due to packing and handling,,['rejection handling'],['Total number of rejection']
24017,percent product that meets customer expectations,,,
24018,percent production losses,,,
24019,percent quality assurance personnel to total personnel,,,
24020,percent quality engineers to product and manufacturing engineers,,,
24021,amount of time lost due to rework,,,
24022,average time required to process a request for corrective action,,,
24023,average time to answer customer complaints,,,
24024,first time through quality yield,,,
24025,internal customer satisfaction,,,
24026,products having first tuning above 100_000 cycles in endurance test,,,
24027,quality improvement _first_pass yield_,,,
24028,quality rates,,,
24029,quality tracking_six sigma,,,
24030,response time to customer queries,,,
24031,rework rate of department,,,
24032,rework rate of entire company,,,
24033,rework rate of worker,,,
24034,number audience reach,,,
24035,number of events conducted,,,
24036,number of events participated,,,
24037,number of marketing communication tools,,,
24038,number of placements in trade magazines,,,
24039,number of sales leads generated by an advertising campaign broken down by channel,,,
24040,number of sales of products advertised before and after the advertising program,,,
24041,number of unique first run broadcast hours by employee,,,
24042,percentage of awareness of advertising messages,,['awareness'],['Total number of advertising messages']
24043,percentage of awareness of the product,,['awareness'],['Total number of the product']
24044,percentage of customers subscribed to newspaper print version but receive access to digital version,,['customers subscribed'],['Total number of customers']
24045,percentage of individuals exposed to advertising campaign and converted into customers sales,,['individuals exposed'],['Total number of individuals']
24046,percentage of individuals in a target audience exposed at least once to an advertisement,,['individuals exposed'],['Total number of individuals']
24047,percentage of new customers acquired over a defined period of time,,['new customers acquired'],['Total number of new customers']
24048,percentage of proposed quotes for new ad sales accepted by customer,,['proposed quotes proposed'],['Total number of proposed quotes']
24049,percentage of readers exposed to a particular advertising campaign,,['readers exposed'],['Total number of readers']
24050,percentage of sales after the promotion and sales turnover before the promotion,,['sales the promotion and sales turnover the promotion'],['the promotion and sales turnover the promotion']
24051,percentage of sales in promotion period and before the promotion,,['sales promotion period the promotion'],['promotion period the promotion']
24052,percentage of targeted_audience that is exposed to a particular ad,,['targeted_audience exposed'],['Total number of targeted_audience']
24053,average exposure to advertisement,,,
24054,average quarter_hour audience,,,
24055,cumulative audience sessions,,,
24056,gross rating point _grp_,['total rating point _grp_'],,
24057,quote to close ratio,,,
24058,sales lead value ratio,,,
24059,number of broadcast hours per dayweekmonthyear,,,
24060,number of minutes required to relay information from newsroom assignment desk to field reporters,,,
24061,number of minutes to relay information from newsroom assignment desk to reporters in field,,,
24062,number of stories investigated by a particular reporter,,,
24063,number of stories investigated during a given time interval by a particular reporter,,,
24064,percentage of broadcast hours for news_ sports_ or entertainment,,['broadcast hours news_ sports_ entertainment'],['news_ sports_ entertainment']
24065,percentage of content management system implemented throughout departments,,['content management system implemented'],['Total number of content management system']
24066,percentage of satellite units deployed to field advertising campaigns,,['satellite units deployed'],['Total number of satellite units']
24067,percentage of stories that originate from dispatches and picked up within 2 hours,,['stories originate'],['Total number of stories']
24068,percentage of viewers exposed to a particular advertising campaign in a given time period at least once,,['viewers exposed'],['Total number of viewers']
24069,assignment desk to field coordination time _hours_,,,
24070,audience research expense per research fte,,,
24071,average cost incurred by the audience research function,,,
24072,broadcast media audience reach,,,
24073,scanner to lead conversion rate,,,
24074,percentage of customers who renew or make additional ads purchases,,['customers renew'],['Total number of customers']
24075,percentage of new revenue,,['new revenue'],"[""Total number of ['new', 'revenue']""]"
24076,average cost per article,,,
24077,average cost to acquire a new customer for a certain product or service,,,
24078,average editorial cost per broadcast hour,,,
24079,average length of time readers subscribe to access newspaper digital version,,,
24080,average length of time readers subscribe to the print version of the newspaper,,,
24081,average production cost per broadcast hour,,,
24082,average revenue per advertisement,,,
24083,average survey cost,,,
24084,average total revenue generated from a customer who is retained,,,
24085,customer acquisition cost _cac_,,,
24086,total number of readers,,,
24087,total cost of audience research survey per 1000 completed questionnaires,['total cost of audience research survey per 1000 completed questionnaires'],,
24088,total digital subscribers,['total digital subscribers'],,
24089,total editorial cost for broadcast newsroom per month,['total editorial cost for broadcast newsroom per month'],,
24090,total lifetime customer value,['total lifetime customer value'],,
24091,total net profit gained from a single customer during lifetime relationship,['total net profit gained from a single customer during lifetime relationship'],,
24092,total print subscription length,['total print subscription length'],,
24093,total production cost for broadcast newsroom per month,['total production cost for broadcast newsroom per month'],,
24094,total revenue generated through advertisement,['total revenue generated through advertisement'],,
24095,total value from customers who receive print copies of the daily newspaper,['total value from customers who receive print copies of the daily newspaper'],,
24096,total value from readers who subscribe to digital newspapers,['total value from readers who subscribe to digital newspapers'],,
24097,number of days from a story s approval to publication,,,
24098,number of information graphics produced by designer,,,
24099,number of photographs from a specific shooter that survive the editing process to publication,,,
24100,percentage of photos display in search results on site and apps with tagging by topic,,['photos display search results site apps tagging topic'],['apps tagging topic']
24101,percentage of prints rights_cleared photos are sold on the site,,['prints rights_cleared'],['Total number of prints']
24102,percentage of tagged stories metatdata with measurements of their timeliness,,['tagged stories measurements their timeliness'],['measurements their timeliness']
24103,average number of possible libel_sensitive edits made per month by newspaper editorial staff,,,
24104,average number of retractions printed per month because of a factual error in information graphics,,,
24105,average libel exposures per month,,,
24106,average story turnaround time _hours_,,,
24107,number of articles with photo appeared,,,
24108,number of column inches of media coverage,,,
24109,number of page counts of top 10 popular photographs,,,
24110,number of page view counts of news stories or web videos from a particular shooter,,,
24111,percentage of campaigns that fail to start in due time,,['campaigns fail'],['Total number of campaigns']
24112,percentage of photos available to readers to start with a photo and click through to read article,,['photos start'],['Total number of photos']
24113,advertising materials approval cycle time _days_,,,
24114,average cost of producing a piece of advertising content,,,
24115,average days needed to push advertising material from conception to approval,,,
24116,number of comments logged per registered user,,,
24117,number of online page counts of top 10 popular stories,,,
24118,number of page view counts of news stories or web videos from a particular reporter,,,
24119,number of people asked after advertising program,,,
24120,number of people asked to buy products advertised after advertising program,,,
24121,number of people bought products,,,
24122,number of social media referrals,,,
24123,number of view counts of top news stories or web videos from a particular reporter,,,
24124,number viewership of advertisements,,,
24125,percent inquiries growth following campaign,,,
24126,percentage of consumer awareness,,['consumer awareness'],"[""Total number of ['consumer', 'awareness']""]"
24127,percentage of effective reach,,['effective reach'],"[""Total number of ['effective', 'reach']""]"
24128,percentage of people remembering message,,['people remembering'],['Total number of people']
24129,percentage of people understanding message,,['people understanding'],['Total number of people']
24130,percentage of preferred customers with messages and advertising program,,['preferred customers messages advertising program'],['messages advertising program']
24131,percentage of reader responsiveness to full_page size of a print newspaper ad,,['reader full_page size a print newspaper ad'],['full_page size a print newspaper ad']
24132,percentage of reader responsiveness to half_page size of a print newspaper ad,,['reader half_page size a print newspaper ad'],['half_page size a print newspaper ad']
24133,percentage of reader responsiveness to quarter_page size of a print newspaper ad,,['reader quarter_page size a print newspaper ad'],['quarter_page size a print newspaper ad']
24134,percentage of site visits generated by social referrals out of total volume of traffic to the site,,['site visits generated'],['Total number of site visits']
24135,percentage of stories that drive readers to other stories on the site,,['stories drive'],['Total number of stories']
24136,average number of comments logged per registered user,,,
24137,average number of comments logged per story,,,
24138,average minutes visitors stay on the newspapers website,,,
24139,average online page counts of top 10 popular stories,,,
24140,average response rates of campaigns,,,
24141,awareness growth percent following campaign,,,
24142,inquiries growth percent following campaign,,,
24143,rating by customers of advertising messages,,,
