,Measures,Single_operand,Numerator,Denominator
1602,average time spent directly delivering output,,[' time spent directly delivering output '],['average time spent directly delivering output ']
1603,average time spent in detention by children after sentencing,,[' time spent in detention by children after sentencing '],[' detention by children after sentencing ']
1604,average time spent in detention by children before sentencing,,[' time spent in detention by children before sentencing '],[' detention by children before sentencing ']
1605,average time spent in public transport,,[' time spent in public transport '],[' public transport ']
1606,average time spent in public transport during peak_hours,,[' time spent in public transport during peak_hours '],[' public transport during peak_hours ']
1607,average time spent listening per user dayweekmonthyear,,[' time spent listening per user dayweekmonthyear '],[' user dayweekmonthyear ']
1608,average time spent listening per user _day or week or month or year,,[' time spent listening per user _day or week or month or year '],[' user _day or week or month or year ']
1609,average time spent on capacity plans,,[' time spent on capacity plans '],['average time spent on capacity plans ']
1610,average time spent on cmdb reconciliation,,[' time spent on cmdb reconciliation '],['average time spent on cmdb reconciliation ']
1611,average time spent on continuity plans,,[' time spent on continuity plans '],['average time spent on continuity plans ']
1612,average time spent on customer relations,,[' time spent on customer relations '],['average time spent on customer relations ']
1613,average time spent on customer relations per customer,,[' time spent on customer relations per customer '],[' customer ']
1614,average time spent on site,,[' time spent on site '],['average time spent on site ']
1615,average time spent on web site for member,,[' time spent on web site for member '],[' member ']
1616,average time stay,,[' time stay '],['average time stay ']
1617,average time taken between distribute generation connection request and completion of connection,,[' time taken between distribute generation connection request and completion of connection '],[' connection ']
1618,average time taken for critical network degradation,,[' time taken for critical network degradation '],[' critical network degradation ']
1619,average time taken for high network degradation,,[' time taken for high network degradation '],[' high network degradation ']
1620,average time taken for medium network degradation,,[' time taken for medium network degradation '],[' medium network degradation ']
1621,average time taken for resolution of associate escalation,,[' time taken for resolution of associate escalation '],[' resolution of associate escalation ']
1622,average time taken for resolution of customer escalation,,[' time taken for resolution of customer escalation '],[' resolution of customer escalation ']
1623,average time taken from when goods arrive to port until the time are claimed from customs,,[' time taken from when goods arrive to port until the time are claimed from customs '],[' port until the time are claimed from customs ']
1624,average time taken needed to resolve complaints,,[' time taken needed to resolve complaints '],[' resolve complaints ']
1625,average time taken to choose the service,,[' time taken to choose the service '],[' choose the service ']
1626,average time taken to clear offences reported,,[' time taken to clear offences reported '],[' clear offences reported ']
1627,average time taken to deliver the order per day,,[' time taken to deliver the order per day '],[' deliver the order per day ']
1628,average time taken to develop strategic blueprint,,[' time taken to develop strategic blueprint '],[' develop strategic blueprint ']
1629,average time taken to dispose of cases at each stage of the administration of justice process,,[' time taken to dispose of cases at each stage of the administration of justice process '],[' dispose of cases at each stage of the administration of justice process ']
1630,average time taken to pack an order,,[' time taken to pack an order '],[' pack an order ']
1631,average time taken to prepare an order,,[' time taken to prepare an order '],[' prepare an order ']
1632,average time taken to process housing benefit,,[' time taken to process housing benefit '],[' process housing benefit ']
1633,average time taken to process the order per day,,[' time taken to process the order per day '],[' process the order per day ']
1634,average time taken to relet empty homes,,[' time taken to relet empty homes '],[' relet empty homes ']
1635,average time taken to repair street or road signs,,[' time taken to repair street or road signs '],[' repair street or road signs ']
1636,average time taken to restore the service,,[' time taken to restore the service '],[' restore the service ']
1637,average time taken to satisfy book requests,,[' time taken to satisfy book requests '],[' satisfy book requests ']
1638,average time taken to type and dispatch dictated medical correspondence,,[' time taken to type and dispatch dictated medical correspondence '],[' type and dispatch dictated medical correspondence ']
1639,average time to a baccalaureate degree by area of study,,[' time to a baccalaureate degree by area of study '],[' a baccalaureate degree by area of study ']
1640,average time to achieve goals,,[' time to achieve goals '],[' achieve goals ']
1641,average time to address data analysis requests,,[' time to address data analysis requests '],[' address data analysis requests ']
1642,average time to answer customer complaints,,[' time to answer customer complaints '],[' answer customer complaints ']
1643,average time to approve projects,,[' time to approve projects '],[' approve projects ']
1644,average time to break even,,[' time to break even '],[' break even ']
1645,average time to clear data tickets,,[' time to clear data tickets '],[' clear data tickets ']
1646,average time to clear exports through customs days,,[' time to clear exports through customs days '],[' clear exports through customs days ']
1647,average time to clear fixed tickets,,[' time to clear fixed tickets '],[' clear fixed tickets ']
1648,average time to clear tt,,[' time to clear tt '],[' clear tt ']
1649,average time to close a sales opportunity,,[' time to close a sales opportunity '],[' close a sales opportunity ']
1650,average time to close audit findings,,[' time to close audit findings '],[' close audit findings ']
1651,average time to close financial disputes,,[' time to close financial disputes '],[' close financial disputes ']
1652,average time to close issues,,[' time to close issues '],[' close issues ']
1653,average time to competence,,[' time to competence '],[' competence ']
1654,average time to complete benchmarking study,,[' time to complete benchmarking study '],[' complete benchmarking study ']
1655,average time to complete essential on boarding formalities,,[' time to complete essential on boarding formalities '],[' complete essential on boarding formalities ']
1656,average time to complete od requests,,[' time to complete od requests '],[' complete od requests ']
1657,average time to complete tendering or bidding,,[' time to complete tendering or bidding '],[' complete tendering or bidding ']
1658,average time to complete tenderingbidding,,[' time to complete tenderingbidding '],[' complete tenderingbidding ']
1659,average time to completion,,[' time to completion '],[' completion ']
1660,average time to configure infrastructure components,,[' time to configure infrastructure components '],[' configure infrastructure components ']
1661,average time to construct indoor substation civil work,,[' time to construct indoor substation civil work '],[' construct indoor substation civil work ']
1662,average time to construct outdoor substation civil work,,[' time to construct outdoor substation civil work '],[' construct outdoor substation civil work ']
1663,average time to correct a problem,,[' time to correct a problem '],[' correct a problem ']
1664,average time to create crime report,,[' time to create crime report '],[' create crime report ']
1665,average time to create employee profile,,[' time to create employee profile '],[' create employee profile ']
1666,average time to deliver,,[' time to deliver '],[' deliver ']
1667,average time to deliver data service,,[' time to deliver data service '],[' deliver data service ']
1668,average time to deliver fixed service,,[' time to deliver fixed service '],[' deliver fixed service ']
1669,average time to deliver internationally,,[' time to deliver internationally '],[' deliver internationally ']
1670,average time to deliver nationally,,[' time to deliver nationally '],[' deliver nationally ']
1671,average time to detect fraud,,[' time to detect fraud '],[' detect fraud ']
1672,average time to determine patentability,,[' time to determine patentability '],[' determine patentability ']
1673,average time to develop a product specification,,[' time to develop a product specification '],[' develop a product specification ']
1674,average time to develop execution plans,,[' time to develop execution plans '],[' develop execution plans ']
1675,average time to develop job description position,,[' time to develop job description position '],[' develop job description position ']
1676,average time to develop new broadband services,,[' time to develop new broadband services '],[' develop new broadband services ']
1677,average time to develop new bundled services,,[' time to develop new bundled services '],[' develop new bundled services ']
1678,average time to develop new services,,[' time to develop new services '],[' develop new services ']
1679,average time to do 1 audit,,[' time to do 1 audit '],[' do 1 audit ']
1680,average time to do one audit,,[' time to do one audit '],[' do one audit ']
1681,average time to draft jd of a new unit,,[' time to draft jd of a new unit '],[' draft jd of a new unit ']
1682,average time to enroll new hires in payroll system,,[' time to enroll new hires in payroll system '],[' enroll new hires in payroll system ']
1683,average time to evaluate a jd,,[' time to evaluate a jd '],[' evaluate a jd ']
1684,average time to execute judicial order,,[' time to execute judicial order '],[' execute judicial order ']
1685,average time to fill emergency orders,,[' time to fill emergency orders '],[' fill emergency orders ']
1686,average time to fill positions,,[' time to fill positions '],[' fill positions ']
1687,average time to fix,,[' time to fix '],[' fix ']
1688,average time to get safety clearance,,[' time to get safety clearance '],[' get safety clearance ']
1689,average time to graduate,,[' time to graduate '],[' graduate ']
1690,average time to handle request,,[' time to handle request '],[' handle request ']
1691,average time to hire,,[' time to hire '],[' hire ']
1692,average time to implement new regulation days,,[' time to implement new regulation days '],[' implement new regulation days ']
1693,average time to install cards outside city,,[' time to install cards outside city '],[' install cards outside city ']
1694,average time to install cards within city,,[' time to install cards within city '],[' install cards within city ']
1695,average time to install sow outside the city,,[' time to install sow outside the city '],[' install sow outside the city ']
1696,average time to install sow within the city,,[' time to install sow within the city '],[' install sow within the city ']
1697,average time to issue a plan,,[' time to issue a plan '],[' issue a plan ']
1698,average time to issue security identification cards,,[' time to issue security identification cards '],[' issue security identification cards ']
1699,average time to launch a service,,[' time to launch a service '],[' launch a service ']
1700,average time to launch marketing campaigns,,[' time to launch marketing campaigns '],[' launch marketing campaigns ']
1701,average time to locate legal information,,[' time to locate legal information '],[' locate legal information ']
1702,average time to make conceptual mock ups,,[' time to make conceptual mock ups '],[' make conceptual mock ups ']
1703,average time to manufacturing,,[' time to manufacturing '],[' manufacturing ']
1704,average time to market,,[' time to market '],[' market ']
1705,average time to new content,,[' time to new content '],[' new content ']
1706,average time to onboard an associate _from signup to closure,,[' time to onboard an associate _from signup to closure '],[' onboard an associate _from signup to closure ']
1707,average time to open ticket,,[' time to open ticket '],[' open ticket ']
1708,average time to perform a business environment assessment,,[' time to perform a business environment assessment '],[' perform a business environment assessment ']
1709,average time to perform partnership assessment,,[' time to perform partnership assessment '],[' perform partnership assessment ']
1710,average time to perform pat,,[' time to perform pat '],[' perform pat ']
1711,average time to planned competence,,[' time to planned competence '],[' planned competence ']
1712,average time to prepare a business plan,,[' time to prepare a business plan '],[' prepare a business plan ']
1713,average time to prepare legal studies,,[' time to prepare legal studies '],[' prepare legal studies ']
1714,average time to prepare patent claims,,[' time to prepare patent claims '],[' prepare patent claims ']
1715,average time to prepare response to monitoring agencies,,[' time to prepare response to monitoring agencies '],[' prepare response to monitoring agencies ']
1716,average time to prepare slas,,[' time to prepare slas '],[' prepare slas ']
1717,average time to process 3rd party compensation services,,[' time to process 3rd party compensation services '],[' process 3rd party compensation services ']
1718,average time to process change organization request,,[' time to process change organization request '],[' process change organization request ']
1719,average time to process employee promotions,,[' time to process employee promotions '],[' process employee promotions ']
1720,average time to process employee transfers,,[' time to process employee transfers '],[' process employee transfers ']
1721,average time to process employees resignations,,[' time to process employees resignations '],[' process employees resignations ']
1722,average time to process insurance claims,,[' time to process insurance claims '],[' process insurance claims ']
1723,average time to process loans,,[' time to process loans '],[' process loans ']
1724,average time to process medical insurance claims,,[' time to process medical insurance claims '],[' process medical insurance claims ']
1725,average time to process personnel services to contractors,,[' time to process personnel services to contractors '],[' process personnel services to contractors ']
1726,average time to procure,,[' time to procure '],[' procure ']
1727,average time to procure an item,,[' time to procure an item '],[' procure an item ']
1728,average time to produce analysis variance reports,,[' time to produce analysis variance reports '],[' produce analysis variance reports ']
1729,average time to produce budget variance report,,[' time to produce budget variance report '],[' produce budget variance report ']
1730,average time to produce financial performance reports,,[' time to produce financial performance reports '],[' produce financial performance reports ']
1731,average time to produce financial statements,,[' time to produce financial statements '],[' produce financial statements ']
1732,average time to profitability,,[' time to profitability '],[' profitability ']
1733,average time to profitability for changes to existing productsservices,,[' time to profitability for changes to existing productsservices '],[' profitability for changes to existing productsservices ']
1734,average time to profitability for new productservice,,[' time to profitability for new productservice '],[' profitability for new productservice ']
1735,average time to promotion,,[' time to promotion '],[' promotion ']
1736,average time to provide financial information to external regularity institutes,,[' time to provide financial information to external regularity institutes '],[' provide financial information to external regularity institutes ']
1737,average time to provide legal consultations,,[' time to provide legal consultations '],[' provide legal consultations ']
1738,average time to provide new proposal,,[' time to provide new proposal '],[' provide new proposal ']
1739,average time to provide promotions transfer and hr services,,[' time to provide promotions transfer and hr services '],[' provide promotions transfer and hr services ']
1740,average time to provide requirements,,[' time to provide requirements '],[' provide requirements ']
1741,average time to provide safety services,,[' time to provide safety services '],[' provide safety services ']
1742,average time to provide to provide financial information to external regularity institutes,,[' time to provide to provide financial information to external regularity institutes '],[' provide to provide financial information to external regularity institutes ']
1743,average time to receiving initial feedback from hiring manager on a candidate,,[' time to receiving initial feedback from hiring manager on a candidate '],[' receiving initial feedback from hiring manager on a candidate ']
1744,average time to recruit,,[' time to recruit '],[' recruit ']
1745,average time to recruit manager,,[' time to recruit manager '],[' recruit manager ']
1746,average time to recruit per position,,[' time to recruit per position '],[' recruit per position ']
1747,average time to recruit staff,,[' time to recruit staff '],[' recruit staff ']
1748,average time to rectify defects in maintenance period,,[' time to rectify defects in maintenance period '],[' rectify defects in maintenance period ']
1749,average time to release engineering drawings,,[' time to release engineering drawings '],[' release engineering drawings ']
1750,average time to remediation andor mitigation of control deficiencies,,[' time to remediation andor mitigation of control deficiencies '],[' remediation andor mitigation of control deficiencies ']
1751,average time to repair,,[' time to repair '],[' repair ']
1752,average time to repair data services,,[' time to repair data services '],[' repair data services ']
1753,average time to repair street lights,,[' time to repair street lights '],[' repair street lights ']
1754,average time to repair traffic lights,,[' time to repair traffic lights '],[' repair traffic lights ']
1755,average time to repair vas systems outages,,[' time to repair vas systems outages '],[' repair vas systems outages ']
1756,average time to reperfusion for patients who have had a heart attack,,[' time to reperfusion for patients who have had a heart attack '],[' reperfusion for patients who have had a heart attack ']
1757,average time to replace rejected lots with good parts,,[' time to replace rejected lots with good parts '],[' replace rejected lots with good parts ']
1758,average time to reply to customers,,[' time to reply to customers '],[' reply to customers ']
1759,average time to resolution,,[' time to resolution '],[' resolution ']
1760,average time to resolution of risks & issues,,[' time to resolution of risks & issues '],[' resolution of risks & issues ']
1761,average time to resolve attendance issues,,[' time to resolve attendance issues '],[' resolve attendance issues ']
1762,average time to resolve benefit programs issues,,[' time to resolve benefit programs issues '],[' resolve benefit programs issues ']
1763,average time to resolve budgeting issues,,[' time to resolve budgeting issues '],[' resolve budgeting issues ']
1764,average time to resolve employee complaints,,[' time to resolve employee complaints '],[' resolve employee complaints ']
1765,average time to resolve invoicing issues,,[' time to resolve invoicing issues '],[' resolve invoicing issues ']
1766,average time to resolve payroll issues,,[' time to resolve payroll issues '],[' resolve payroll issues ']
1767,average time to resolve projects delivery issues,,[' time to resolve projects delivery issues '],[' resolve projects delivery issues ']
1768,average time to resolve stocks availability issues,,[' time to resolve stocks availability issues '],[' resolve stocks availability issues ']
1769,average time to resolve vendors issues,,[' time to resolve vendors issues '],[' resolve vendors issues ']
1770,average time to respond to business partner requests,,[' time to respond to business partner requests '],[' respond to business partner requests ']
1771,average time to respond to customer complaints,,[' time to respond to customer complaints '],[' respond to customer complaints ']
1772,average time to respond to customer queries,,[' time to respond to customer queries '],[' respond to customer queries ']
1773,average time to respond to emergency,,[' time to respond to emergency '],[' respond to emergency ']
1774,average time to respond to employees queries,,[' time to respond to employees queries '],[' respond to employees queries ']
1775,average time to respond to hr queries,,[' time to respond to hr queries '],[' respond to hr queries ']
1776,average time to respond to hr system related inquiries,,[' time to respond to hr system related inquiries '],[' respond to hr system related inquiries ']
1777,average time to respond to investors queries,,[' time to respond to investors queries '],[' respond to investors queries ']
1778,average time to respond to official entities requests,,[' time to respond to official entities requests '],[' respond to official entities requests ']
1779,average time to respond to violations,,[' time to respond to violations '],[' respond to violations ']
1780,average time to restore backup,,[' time to restore backup '],[' restore backup ']
1781,average time to restore off site backup,,[' time to restore off site backup '],[' restore off site backup ']
1782,average time to restore off_site backup,,[' time to restore off_site backup '],[' restore off_site backup ']
1783,average time to restore outages,,[' time to restore outages '],[' restore outages ']
1784,average time to restore service,,[' time to restore service '],[' restore service ']
1785,average time to sell,,[' time to sell '],[' sell ']
1786,average time to sell_track how long you need to sell your products,,[' time to sell_track how long you need to sell your products '],[' sell_track how long you need to sell your products ']
1787,average time to set up pilot production,,[' time to set up pilot production '],[' set up pilot production ']
1788,average time to settle a claim,,[' time to settle a claim '],[' settle a claim ']
1789,average time to solve congested msan,,[' time to solve congested msan '],[' solve congested msan ']
1790,average time to solve service request,,[' time to solve service request '],[' solve service request ']
1791,average time to start,,[' time to start '],[' start ']
1792,average time to transaction complete,,[' time to transaction complete '],[' transaction complete ']
1793,average time to update cmdb _incl target,,[' time to update cmdb _incl target '],[' update cmdb _incl target ']
1794,average time to update databases,,[' time to update databases '],[' update databases ']
1795,average time to update employee records,,[' time to update employee records '],[' update employee records ']
1796,average time to update employee records if changes in employee information occur,,[' time to update employee records if changes in employee information occur '],[' update employee records if changes in employee information occur ']
1797,average time to update the geodatabase from the date of submission,,[' time to update the geodatabase from the date of submission '],[' update the geodatabase from the date of submission ']
1798,average time to verify design,,[' time to verify design '],[' verify design ']
1799,average time waited when transiting,,[' time waited when transiting '],['average time waited when transiting ']
1800,average time_to_profitability for changes to existing products or services,,[' time_to_profitability for changes to existing products or services '],[' existing products or services ']
1801,average time_to_profitability for new product or service,,[' time_to_profitability for new product or service '],['average time_to_profitability for new product or service ']
1802,average timeliness of restoring service by customer category,,[' timeliness of restoring service by customer category '],[' restoring service by customer category ']
1803,average tip received per waiting staff,,[' tip received per waiting staff '],[' waiting staff ']
1804,average tons of recycling collected per account,,[' tons of recycling collected per account '],[' recycling collected per account ']
1805,average tons per hour,,[' tons per hour '],[' hour ']
1806,average tons per load,,[' tons per load '],[' load ']
1807,average tourism receipts,,[' tourism receipts '],['average tourism receipts ']
1808,average tourism receipts for hotel and hotel apartments,,[' tourism receipts for hotel and hotel apartments '],['average tourism receipts for hotel and hotel apartments ']
1809,average tourist arrivals day,,[' tourist arrivals day '],['average tourist arrivals day ']
1810,average track quality index,,[' track quality index '],['average track quality index ']
1811,average trade fail volume,,[' trade fail volume '],['average trade fail volume ']
1812,average trademark pendency,,[' trademark pendency '],['average trademark pendency ']
1813,average training cost per employee,,[' training cost per employee '],[' employee ']
1814,average training costs per employee,,[' training costs per employee '],[' employee ']
1815,average training days per employee,,[' training days per employee '],[' employee ']
1816,average training hours per employee,,[' training hours per employee '],[' employee ']
1817,average training hours_ customer relations,,[' training hours_ customer relations '],['average training hours_ customer relations ']
1818,average training hours_ product development,,[' training hours_ product development '],['average training hours_ product development ']
1819,average training hours_ supply chain,,[' training hours_ supply chain '],['average training hours_ supply chain ']
1820,average training spend per junior employee as identified in the staff development program,,[' training spend per junior employee as identified in the staff development program '],[' junior employee as identified in the staff development program ']
1821,average training spend per technical employee as identified in the staff development program,,[' training spend per technical employee as identified in the staff development program '],[' technical employee as identified in the staff development program ']
1822,average transaction cancel amount,,[' transaction cancel amount '],['average transaction cancel amount ']
1823,average transaction size,,[' transaction size '],['average transaction size ']
1824,average transaction value,,[' transaction value '],['average transaction value ']
1825,average transfer time between two nodes of the public transport network,,[' transfer time between two nodes of the public transport network '],[' the public transport network ']
1826,average transit time,,[' transit time '],['average transit time ']
1827,average transportation cost per unit,,[' transportation cost per unit '],[' unit ']
1828,average travel costs per employee,,[' travel costs per employee '],[' employee ']
1829,average travel time delay,,[' travel time delay '],['average travel time delay ']
1830,average treatment charge,,[' treatment charge '],['average treatment charge ']
1831,average turnaround time,,[' turnaround time '],['average turnaround time ']
1832,average turnaround time for fixing production incidents _customer impacted by severity,,[' turnaround time for fixing production incidents _customer impacted by severity '],['average turnaround time for fixing production incidents _customer impacted by severity ']
1833,average turnaround time since filing application till getting approval to establish new businesses,,[' turnaround time since filing application till getting approval to establish new businesses '],[' establish new businesses ']
1834,average turnover customer sale staff,,[' turnover customer sale staff '],['average turnover customer sale staff ']
1835,average undergraduate student credit load,,[' undergraduate student credit load '],['average undergraduate student credit load ']
1836,average unit cost,,[' unit cost '],['average unit cost ']
1837,average unit variable costs,,[' unit variable costs '],['average unit variable costs ']
1838,average units per customer,,[' units per customer '],[' customer ']
1839,average units per labor hour,,[' units per labor hour '],[' labor hour ']
1840,average unmet free application for federal student aid financial,,[' unmet free application for federal student aid financial '],['average unmet free application for federal student aid financial ']
1841,average usage per telecom user aupu,,[' usage per telecom user aupu '],[' telecom user aupu ']
1842,average usage per telecom user _aupu,,[' usage per telecom user _aupu '],[' telecom user _aupu ']
1843,average usage period_fertilizers_ fuel etc,,[' usage period_fertilizers_ fuel etc '],['average usage period_fertilizers_ fuel etc ']
1844,average use of cleaning agents or soap used to determine hand hygiene or hand washing,,[' use of cleaning agents or soap used to determine hand hygiene or hand washing '],[' cleaning agents or soap used to determine hand hygiene or hand washing ']
1845,average useful life of equipment,,[' useful life of equipment '],[' equipment ']
1846,average usual weekly hours worked on the main job,,[' usual weekly hours worked on the main job '],['average usual weekly hours worked on the main job ']
1847,average usual working hours of employed persons,,[' usual working hours of employed persons '],[' employed persons ']
1848,average usual working hours of employees,,[' usual working hours of employees '],[' employees ']
1849,average vacation hours utilized,,[' vacation hours utilized '],['average vacation hours utilized ']
1850,average vacation hours utilized per employee by department,,[' vacation hours utilized per employee by department '],[' employee by department ']
1851,average value in us dollar of assets under management,,[' value in us dollar of assets under management '],[' us dollar of assets under management ']
1852,average value of bank evaluation us dollar m by location type of construction and dwelling typology,,[' value of bank evaluation us dollar m by location type of construction and dwelling typology '],[' bank evaluation us dollar m by location type of construction and dwelling typology ']
1853,average value of bank evaluation us dollar m by location and type of construction,,[' value of bank evaluation us dollar m by location and type of construction '],[' bank evaluation us dollar m by location and type of construction ']
1854,average value of customer baskets,,[' value of customer baskets '],[' customer baskets ']
1855,average value of expense claims,,[' value of expense claims '],[' expense claims ']
1856,average value of food production,,[' value of food production '],[' food production ']
1857,average value of ideas or suggestions implemented,,[' value of ideas or suggestions implemented '],[' ideas or suggestions implemented ']
1858,average value of ideas suggestions implemented,,[' value of ideas suggestions implemented '],[' ideas suggestions implemented ']
1859,average value of orders,,[' value of orders '],[' orders ']
1860,average value of outstanding accounts payable invoices per fte,,[' value of outstanding accounts payable invoices per fte '],[' outstanding accounts payable invoices per fte ']
1861,average value of outstanding accounts receivable invoices per fte,,[' value of outstanding accounts receivable invoices per fte '],[' outstanding accounts receivable invoices per fte ']
1862,average value of overdue invoices,,[' value of overdue invoices '],[' overdue invoices ']
1863,average value of past due loans,,[' value of past due loans '],[' past due loans ']
1864,average value of private label,,[' value of private label '],[' private label ']
1865,average value of t&e expenses per expense claim,,[' value of t&e expenses per expense claim '],[' t&e expenses per expense claim ']
1866,average value of the order,,[' value of the order '],[' the order ']
1867,average value of travel and entertainment expenses per expense claim,,[' value of travel and entertainment expenses per expense claim '],[' travel and entertainment expenses per expense claim ']
1868,average value traded on stock market per day,,[' value traded on stock market per day '],[' day ']
1869,average variable costs per airplane,,[' variable costs per airplane '],[' airplane ']
1870,average variable costs per book title,,[' variable costs per book title '],[' book title ']
1871,average variable costs per concert,,[' variable costs per concert '],[' concert ']
1872,average variable costs per convention visitor,,[' variable costs per convention visitor '],[' convention visitor ']
1873,average variable costs per cover,,[' variable costs per cover '],[' cover ']
1874,average variable costs per dentist chair,,[' variable costs per dentist chair '],[' dentist chair ']
1875,average variable costs per dentist treatment,,[' variable costs per dentist treatment '],[' dentist treatment ']
1876,average variable costs per gas connection,,[' variable costs per gas connection '],[' gas connection ']
1877,average variable costs per gas distribution km,,[' variable costs per gas distribution km '],[' gas distribution km ']
1878,average variable costs per graduate,,[' variable costs per graduate '],[' graduate ']
1879,average variable costs per incoming phone call,,[' variable costs per incoming phone call '],[' incoming phone call ']
1880,average variable costs per laboratory test,,[' variable costs per laboratory test '],[' laboratory test ']
1881,average variable costs per movie title,,[' variable costs per movie title '],[' movie title ']
1882,average variable costs per music title,,[' variable costs per music title '],[' music title ']
1883,average variable costs per newspaper edition,,[' variable costs per newspaper edition '],[' newspaper edition ']
1884,average variable costs per power connection,,[' variable costs per power connection '],[' power connection ']
1885,average variable costs per power distribution km,,[' variable costs per power distribution km '],[' power distribution km ']
1886,average variable costs per radio hour,,[' variable costs per radio hour '],[' radio hour ']
1887,average variable costs per real estate rental property,,[' variable costs per real estate rental property '],[' real estate rental property ']
1888,average variable costs per rental property,,[' variable costs per rental property '],[' rental property ']
1889,average variable costs per room,,[' variable costs per room '],[' room ']
1890,average variable costs per seat,,[' variable costs per seat '],[' seat ']
1891,average variable costs per sewage connection,,[' variable costs per sewage connection '],[' sewage connection ']
1892,average variable costs per sewage km,,[' variable costs per sewage km '],[' sewage km ']
1893,average variable costs per ship,,[' variable costs per ship '],[' ship ']
1894,average variable costs per square foot of property space,,[' variable costs per square foot of property space '],[' square foot of property space ']
1895,average variable costs per store visit,,[' variable costs per store visit '],[' store visit ']
1896,average variable costs per student,,[' variable costs per student '],[' student ']
1897,average variable costs per table,,[' variable costs per table '],[' table ']
1898,average variable costs per telecom tower,,[' variable costs per telecom tower '],[' telecom tower ']
1899,average variable costs per television hour,,[' variable costs per television hour '],[' television hour ']
1900,average variable costs per theater seat,,[' variable costs per theater seat '],[' theater seat ']
1901,average variable costs per train,,[' variable costs per train '],[' train ']
1902,average variable costs per treatment,,[' variable costs per treatment '],[' treatment ']
1903,average variable costs per treatment room,,[' variable costs per treatment room '],[' treatment room ']
1904,average variable costs per truck,,[' variable costs per truck '],[' truck ']
1905,average variable costs per water connection,,[' variable costs per water connection '],[' water connection ']
1906,average variable costs per water distribution km,,[' variable costs per water distribution km '],[' water distribution km ']
1907,average vessel turn around times,,[' vessel turn around times '],['average vessel turn around times ']
1908,average visit duration,,[' visit duration '],['average visit duration ']
1909,average visitor satisfaction rates with private sector service providers,,[' visitor satisfaction rates with private sector service providers '],['average visitor satisfaction rates with private sector service providers ']
1910,average visits to purchase,,[' visits to purchase '],[' purchase ']
1911,average volume of precipitation,,[' volume of precipitation '],[' precipitation ']
1912,average voting age participation,,[' voting age participation '],['average voting age participation ']
1913,average voting age participation in election,,[' voting age participation in election '],[' election ']
1914,average wage for production employees,,[' wage for production employees '],['average wage for production employees ']
1915,average wage for refugees placed in full time employment,,[' wage for refugees placed in full time employment '],[' full time employment ']
1916,average wage in manufacturing,,[' wage in manufacturing '],[' manufacturing ']
1917,average wages,,[' wages '],['average wages ']
1918,average wages $,,[' wages $ '],['average wages $ ']
1919,average wages of employed population,,[' wages of employed population '],[' employed population ']
1920,average wait time,,[' wait time '],['average wait time ']
1921,average wait time in person,,[' wait time in person '],[' person ']
1922,average wait time of customer call,,[' wait time of customer call '],[' customer call ']
1923,average wait time per laboratory test,,[' wait time per laboratory test '],[' laboratory test ']
1924,average waiting time at borders,,[' waiting time at borders '],['average waiting time at borders ']
1925,average waiting time for a customer to reach a service agent,,[' waiting time for a customer to reach a service agent '],[' reach a service agent ']
1926,average waiting time for check out,,[' waiting time for check out '],['average waiting time for check out ']
1927,average waiting time for new patient to be admitted,,[' waiting time for new patient to be admitted '],[' be admitted ']
1928,average waiting time for nursing homesnursing dwellings for persons aged 67 and older by region,,[' waiting time for nursing homesnursing dwellings for persons aged 67 and older by region '],['average waiting time for nursing homesnursing dwellings for persons aged 67 and older by region ']
1929,average waiting time for rapid access chest pain clinics,,[' waiting time for rapid access chest pain clinics '],['average waiting time for rapid access chest pain clinics ']
1930,average waiting time in medical clinic,,[' waiting time in medical clinic '],[' medical clinic ']
1931,average waiting time to follow up appointment,,[' waiting time to follow up appointment '],[' follow up appointment ']
1932,average waiting time to new patient appointment,,[' waiting time to new patient appointment '],[' new patient appointment ']
1933,average waiting time to treatment appointment,,[' waiting time to treatment appointment '],[' treatment appointment ']
1934,average waiting times for key services,,[' waiting times for key services '],['average waiting times for key services ']
1935,average waiting tip per cover,,[' waiting tip per cover '],[' cover ']
1936,average waiting tip per seat,,[' waiting tip per seat '],[' seat ']
1937,average waiting tip per table,,[' waiting tip per table '],[' table ']
1938,average waste cost per square meter floor area,,[' waste cost per square meter floor area '],[' square meter floor area ']
1939,average waste generation per project,,[' waste generation per project '],[' project ']
1940,average waste generation per square meterfoot,,[' waste generation per square meterfoot '],[' square meterfoot ']
1941,average waste generation volume per project,,[' waste generation volume per project '],[' project ']
1942,average waste generation volume per square meterfoot,,[' waste generation volume per square meterfoot '],[' square meterfoot ']
1943,average waste per ton,,[' waste per ton '],[' ton ']
1944,average waste recycling tons per time unit,,[' waste recycling tons per time unit '],[' time unit ']
1945,average water service connection time,,[' water service connection time '],['average water service connection time ']
1946,average water usage per connection,,[' water usage per connection '],[' connection ']
1947,average water use per employee per month,,[' water use per employee per month '],[' employee per month ']
1948,average water used per amount of product manufactured,,[' water used per amount of product manufactured '],[' amount of product manufactured ']
1949,average weekly billable hours,,[' weekly billable hours '],['average weekly billable hours ']
1950,average weekly sales per city,,[' weekly sales per city '],[' city ']
1951,average weekly sales per store,,[' weekly sales per store '],[' store ']
1952,average weekly tv coverage share of population aged 3 and up by channel,,[' weekly tv coverage share of population aged 3 and up by channel '],[' population aged 3 and up by channel ']
